"",".id","Start_time","End_time","tdiff_sec","n_time","DO_mgL_mean","DO_psat_mean","WaterTempC_mean","DO_mgL_sd","DO_psat_sd","WaterTempC_sd","DO_mgL_min","DO_psat_min","WaterTempC_min","DO_mgL_max","DO_psat_max","WaterTempC_max","DOmgL_X5.","DOmgL_X10.","DOmgL_X25.","DOmgL_X50.","DOmgL_X75.","DOmgL_X90.","DOmgL_X95.","DOpsat_X5.","DOpsat_X10.","DOpsat_X25.","DOpsat_X50.","DOpsat_X75.","DOpsat_X90.","DOpsat_X95.","Temp_X5.","Temp_X10.","Temp_X25.","Temp_X50.","Temp_X75.","Temp_X90.","Temp_X95.","Hyp_pr_sub2","Hyp_pr_sub3","Hyp_pr_sub4","Hyp_pr_sub5"
"192","nwis_03098600 _TS.csv",2008-06-18 04:00:00,2007-10-11 12:35:00,3600,48401,9.00579290967689,91.4053505844145,16.4111329620966,2.43092008713905,9.98143515636781,8.40973586775467,2.2,28.6961471507838,0,15.2,156.526089731013,32,6,6.4,7.2,8.3,10.7,13.2,13.6,76.0179745809003,79.5519633832983,84.9882027786776,91.8423261808112,98.0974630159816,102.229075956127,105.205701577218,0.6,2.3,10.3,19.2,23,25.4,26.9,0,0.000433848442277498,0.00198330716469713,0.00706553177423353
"193","nwis_03105500 _TS.csv",2011-06-01 04:00:00,2016-06-13 13:46:00,3600,112738,8.13464226791321,91.7612051567173,20.1823512132595,1.6425504160425,13.0629571376349,5.5816479047284,4,46.6337286422637,4.2,18.7,167.136295737613,33.2,5.9,6.3,7,7.8,9.1,10.3,11.1,74.0553893260389,77.393113913251,83.4770994664734,90.0277660526365,97.7401015202636,107.641929870375,115.534384590606,10.8,12.4,16,21.2,24.1,27.4,28.9,0,0,0,0.00242154375631996
"194","nwis_03106000 _TS.csv",2011-06-01 04:00:00,2012-08-08 04:45:00,3600,109008,8.96320270071921,100.057360229521,19.3950232097316,1.92169895251136,19.6761230456032,5.60485690263019,3.9,48.7529936728788,2.9,17.2,242.043674919304,33.6,6.2,6.7,7.5,8.7,10.2,11.5,12.4,75.913954297532,80.231683357278,86.8021876364916,95.5032954721614,109.55121595282,127.567379774717,138.196891402538,9.6,11.3,15,20.3,23.8,26.1,27.4,0,0,9.17363863202701e-06,0.00283465433729635
"195","nwis_03108490 _TS.csv",2008-06-01 04:00:00,2010-08-14 04:45:00,3600,128886,8.7628508914855,102.865133656308,21.9325145899298,1.34303509262635,10.0813304051953,4.45845818570495,4.7,57.8724296897641,11.1,13.7,185.657772500864,30.2,6.6,7.1,7.9,8.7,9.6,10.6,11.2,84.4806250922715,89.7531111691429,97.4869467569232,103.636881267459,108.650997119295,114.472020840665,118.846450449374,13.8,15.2,18.6,22.7,25.4,27.5,28.1,0,0,0,0.00064397995127477
"196","nwis_03121850 _TS.csv",2009-06-01 04:00:00,2013-04-18 18:00:00,3600,35880,10.6943010812618,99.0349967252443,11.5269362710919,2.00896330921446,7.68014768580696,7.36826157627961,4.9,55.0709418810359,0,16.7,137.829448353759,26.4,7.8,8.2,8.9,10.5,12.5,13.5,13.8,86.2216388273513,89.9050843932992,94.741709647265,98.8591619198731,103.230371832584,108.113098179251,111.75384286364,0.3,0.8,4.6,11.9,18.4,21,22,0,0,0,2.78675732917178e-05
"197","nwis_03183500 _TS.csv",2008-06-01 04:00:00,2007-12-05 11:00:00,3600,108960,10.0099632012187,99.9175208885376,13.796240256342,2.14199242089642,11.3556814691233,8.61196649409711,2.8,35.467412380507,0,18.6,239.435889950548,31.2,6.8,7.3,8.3,9.8,11.8,13,13.5,83.2460404160468,87.8422268811479,94.9411693644387,99.6260980444418,104.375825132071,110.611036795281,116.475634311171,0.7,2.3,5.8,13.8,22.2,25,26.1,0,1.83535068963302e-05,0.000146828055170642,0.00156004808618807
"198","nwis_03216070 _TS.csv",2015-09-02 21:45:00,2016-03-08 04:45:00,1800,46473,9.54993222454117,95.8903725650051,16.3645323059705,2.27923638566346,10.0562422338244,8.69936151349591,2.2,28.6155655590211,0.4,14.9,157.093740242131,31.4,6.1,6.7,7.7,9.2,11.1,13,13.4,78.5634358360464,82.561514481346,90.4624895953838,96.525627334883,100.90468877233,105.114933023289,111.94163270419,2.6,4.2,9.1,16.8,24.6,28.2,29,0,4.30320373518084e-05,8.60640747036168e-05,0.000258192224110851
"199","nwis_03219500 _TS.csv",2008-06-01 04:00:00,2008-09-25 17:01:00,3600,78169,7.75686781204825,80.3401668590934,16.6819025223906,2.46915480618406,22.4604993881175,6.64544897878511,0.1,1.00119572982044,0.2,19.6,243.847133316204,31.2,4.4,5.1,6,7.4,9.2,11.1,12.4599999999991,50.41138990399,57.4285904475067,66.8659275266332,77.4668516713941,90.2879378519786,105.89829615719,120.53441037218,4.9,7.1,11.6,17.6,22.2,24.7,25.8,0.00350522585679745,0.00887819979787384,0.0294106359298443,0.0894856017091174
"200","nwis_03220510 _TS.csv",2008-06-01 04:00:00,2010-02-04 19:05:00,3600,64353,9.12885132300617,83.9782153583883,12.748395085096,3.29030280393986,22.6905544982567,8.70432762016803,0.1,1.17652407007908,0.2,18,212.398459935869,30.9,3.3,4.4,6.6,9.5,11.8,13.1,13.7,38.4872377819942,51.0221601790686,72.9559874400621,89.1876515847705,99.624437113547,105.268579581905,108.255183586255,1.3,1.7,4.1,12.1,21,25,26.1,0.0184273084631998,0.0396202669318376,0.0792405338636752,0.126458569630677
"201","nwis_03228039 _TS.csv",2011-06-01 04:00:00,2011-11-03 15:14:00,3600,51142,9.84695589270353,94.5202456196645,14.039562764457,2.51562663055749,15.7932025109668,8.42637026082649,3.2,38.7595729026186,0,19.3,251.374883004433,33.3,5.8,6.5,7.8,9.9,12.2,13.1,13.5,68.1490855175951,75.3001471537426,87.7657313124056,95.7699697450177,100.498478422747,106.20034587495,118.197961162359,2,2.9,5.9,14,22.3,25.2,26.3,0,0,0.000469226558223195,0.0114373973566904
