COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,HUDen2010Cat,PopDen2010Cat,HUDen2010Ws,PopDen2010Ws
14828681,0.2322,13.725,100.0,100.0,0.42958534481395355,1.016025864868217,0.4295853448131147,1.0160258648721312
14828581,17.7327,17.7327,100.0,100.0,0.5183360368015023,1.0586745141146017,0.5183360368015023,1.0586745141146017
909020611,0.8847,12.717,100.0,100.0,0.5757568969704985,1.2228611903967446,0.5704678406206652,1.2117825244444445
14828725,13.9824,13.9824,100.0,100.0,0.42958534481269306,1.016025864868692,0.42958534481269306,1.016025864868692
14828719,2.8917,18.8172,100.0,100.0,0.42958534481170246,1.0160258648708373,0.4295853448125119,1.0160258648699065
14254903,0.0342,24.5457,100.0,100.0,0.5030149525157895,1.0399209834,0.5030149525171415,1.039920983401166
14254005,10.6398,905.6322,100.0,100.0,0.8909968635002536,1.9000776486635087,0.5256738363958349,0.9971297103526133
14828769,3.2607,3.2607,100.0,100.0,0.5393450655865305,1.055836552136351,0.5393450655865305,1.055836552136351
14826977,12.1878,34.4358,100.0,100.0,0.5277579462863684,1.1223206959016392,0.5277579462861325,1.122320695899326
14254267,0.0603,963.6705,100.0,100.0,0.8909968634955223,1.9000776486567166,0.5476758873494623,1.051510915680204
14828759,1.4742,8.3412,100.0,100.0,0.4510453643424909,1.0238095775152625,0.5138265011793267,1.0465807743353475
14828773,4.8366,4.8366,100.0,100.0,0.5110271535560105,1.0455654296166728,0.5110271535560105,1.0455654296166728
14827499,1.1232,69.2757,100.0,100.0,0.5386237532860577,1.2293459239503206,3.652325254426877,8.83611187972406
14828613,8.4339,25.0335,100.0,100.0,0.5490478572649664,1.0734329078753602,0.5037493595182455,1.0516649678303074
14828567,6.4053,6.4053,100.0,100.0,0.5524704385766475,1.0750776101995223,0.5524704385766475,1.0750776101995223
14825295,0.6093,10.8468,100.0,100.0,0.5386237532865583,1.2293459239497784,0.5431734481023897,1.2374603105708597
14827383,0.1413,0.1413,100.0,100.0,0.5386237532859872,1.2293459239490447,0.5386237532859872,1.2293459239490447
14825217,6.2766,6.2766,100.0,100.0,0.6785957624304559,1.4325302898824206,0.6785957624304559,1.4325302898824206
14826839,2.4885,80.5167,100.0,100.0,0.5277579462857143,1.1223206958987342,0.5277579462850565,1.1223206958966276
14827865,0.2646,7.2369,100.0,100.0,0.5524704385782314,1.0750776102006803,0.5524704385772915,1.075077610200224
14827823,42.1218,83.6982,100.0,100.0,0.7992658146382633,1.8066929630122643,0.799060189443859,1.8061386250134412
14828677,0.5418,7.398,100.0,100.0,0.4295853448122924,1.016025864870432,0.42958534481265204,1.0160258648698297
14828693,1.9908,1.9908,100.0,100.0,0.4295853448128391,1.016025864868897,0.4295853448128391,1.016025864868897
14253813,0.1314,26.6841,100.0,100.0,0.7812473016027397,1.6620653377328767,0.5089739238692704,1.0532456036223818
14252177,0.6426,21.7656,100.0,100.0,0.5030149525168067,1.0399209834005603,0.503014952518194,1.0399209833981145
14252147,2.979,13.5,100.0,100.0,0.5030149525166163,1.0399209833987917,0.5030149525173333,1.0399209834
14254593,3.6711,1465.4934,100.0,100.0,0.5354288101078696,1.1890459194410392,0.5711539943426562,1.0997058371296657
14825137,1.9872,1.9872,100.0,100.0,0.7812473016032608,1.6620653377309782,0.7812473016032608,1.6620653377309782
14827691,1.2987,1.2987,100.0,100.0,0.5524704385772696,1.0750776102009703,0.5524704385772696,1.0750776102009703
